['12', '12', '14']
['4', '12', '15']
['10', '9', '7']
['11', '13', '8']
['12', '12', '10']
['5', '7', '11']
['14', '15', '21']
['10', '13', '8']
['7', '15', '8']
['6', '5', '6']
['8', '13', '11']
['6', '5', '7']
['10', '9', '9']
['6', '14', '3']
['8', '6', '12']
['11', '9', '6']
['13', '12', '8']
['9', '20', '15']
['12', '7', '3']
['12', '7', '12']
['7', '10', '13']
['11', '12', '4']
['8', '6', '5']
['6', '7', '3']
['7', '9', '14']
['24', '20', '15']
['9', '7', '10']
['5', '10', '11']
['7', '10', '10']
['15', '10', '12']
['11', '10', '11']
['8', '11', '13']
['14', '9', '13']
['11', '13', '6']
['6', '15', '8']
['7', '14', '14']
['13', '11', '9']
['4', '10', '11']
['6', '9', '7']
['10', '11', '11']
['8', '4', '11']
['8', '11', '12']
['3', '11', '8']
['6', '5', '6']
['5', '18', '4']
['11', '11', '9']
['9', '13', '12']
['15', '12', '10']
['7', '13', '4']
['11', '11', '5']
['5', '8', '7']
['11', '8', '4']
['17', '18', '13']
['8', '2', '5']
['7', '8', '7']
['16', '11', '9']
['15', '6', '12']
['11', '13', '12']
['10', '12', '6']
['12', '10', '9']
['10', '17', '2']
['6', '11', '5']
['11', '12', '10']
['5', '12', '16']
['6', '15', '9']
['8', '12', '8']
['7', '15', '4']
['10', '10', '5']
['8', '3', '9']
['8', '11', '13']
['12', '8', '16']
['14', '14', '11']
['12', '7', '8']
['15', '13', '4']
['11', '9', '14']
['7', '12', '3']
['11', '12', '16']
['6', '10', '10']
['13', '8', '6']
['14', '6', '4']
['11', '9', '6']
['12', '16', '9']
['9', '7', '10']
['14', '16', '20']
['6', '5', '8']
['6', '9', '8']
['4', '11', '6']
['9', '13', '11']
['14', '15', '13']
['6', '12', '8']
['6', '7', '7']
['13', '8', '11']
['14', '3', '8']
['7', '13', '11']
['7', '9', '7']
['14', '16', '7']
['12', '14', '4']
['4', '4', '8']
['8', '5', '8']
['12', '8', '9']
['12', '14', '10']
['9', '14', '6']
['8', '3', '11']
['7', '11', '16']
['7', '7', '11']
['6', '13', '13']
['8', '8', '8']
['9', '4', '9']
['15', '10', '11']
['9', '8', '11']
['10', '6', '8']
['14', '9', '5']
['14', '14', '11']
['8', '14', '4']
['12', '15', '13']
['13', '10', '5']
['11', '11', '11']
['9', '11', '7']
['3', '13', '10']
['10', '12', '4']
['7', '9', '6']
['14', '7', '25']
['3', '11', '10']
['11', '8', '4']
['12', '17', '15']
['8', '7', '12']
['10', '12', '7']
['8', '6', '10']
['12', '6', '7']
['14', '10', '13']
['15', '9', '13']
['4', '11', '4']
['10', '12', '10']
['6', '10', '7']
['11', '16', '9']
['16', '10', '6']
['5', '11', '7']
['13', '17', '20']
['10', '12', '8']
['7', '16', '5']
['6', '10', '9']
['7', '16', '4']
['12', '3', '6']
['4', '13', '5']
['4', '15', '16']
['6', '10', '10']
['10', '5', '5']
['9', '12', '9']
['17', '15', '9']
['10', '7', '7']
['7', '9', '8']
['5', '11', '8']
['9', '6', '7']
['7', '8', '4']
['11', '12', '8']
['12', '6', '13']
['2', '13', '10']
['10', '20', '16']
['8', '11', '12']
['9', '5', '12']
['4', '10', '10']
['11', '10', '15']
['6', '14', '11']
['10', '13', '12']
['3', '15', '10']
['5', '5', '9']
['12', '12', '5']
['9', '11', '15']
['11', '10', '7']
['10', '6', '9']
['10', '12', '13']
['11', '15', '9']
['7', '5', '9']
['11', '16', '15']
['4', '8', '9']
['7', '14', '9']
['7', '6', '5']
['6', '12', '3']
['8', '17', '6']
['9', '17', '8']
['13', '14', '14']
['8', '22', '5']
['11', '16', '14']
['10', '7', '5']
['4', '9', '10']
['6', '11', '7']
['10', '7', '3']
['15', '11', '16']
['9', '7', '19']
['17', '11', '5']
['10', '7', '7']
['16', '11', '9']
['9', '14', '8']
['7', '9', '5']
['11', '9', '18']
['5', '6', '7']
['19', '11', '6']
['13', '4', '9']
['12', '9', '15']
['4', '14', '7']
['6', '7', '11']
['15', '10', '10']
['13', '8', '4']
['11', '14', '8']
['10', '3', '7']
['7', '12', '10']
['6', '12', '6']
['9', '11', '6']
['28', '21', '12']
['6', '12', '14']
['22', '10', '16']
['13', '5', '11']
['10', '8', '10']
['7', '18', '4']
['13', '9', '13']
['8', '13', '8']
['11', '15', '14']
['10', '9', '9']
['12', '4', '5']
['10', '20', '7']
['7', '9', '10']
['18', '15', '19']
['8', '6', '6']
['11', '12', '7']
['9', '9', '13']
['11', '12', '12']
['11', '13', '7']
['7', '10', '10']
['14', '7', '15']
['4', '7', '6']
['21', '6', '4']
['9', '15', '11']
['10', '5', '7']
['16', '8', '8']
['10', '17', '5']
['20', '12', '6']
['6', '7', '10']
['10', '4', '10']
['8', '14', '11']
['9', '14', '9']
['13', '2', '2']
['8', '10', '6']
['3', '11', '7']
['15', '19', '7']
['6', '19', '1']
['15', '13', '6']
['2', '9', '10']
['9', '7', '8']
['5', '10', '11']
['12', '5', '8']
['8', '13', '13']
['10', '8', '9']
['9', '6', '6']
['18', '20', '9']
['12', '15', '7']
['3', '4', '8']
['14', '14', '6']
['15', '10', '6']
['7', '11', '1']
['5', '14', '7']
['5', '8', '9']
['7', '14', '9']
['4', '5', '1']
['17', '12', '9']
['9', '12', '8']
['5', '8', '5']
['2', '8', '13']
['6', '5', '6']
['11', '8', '9']
['14', '16', '9']
['6', '8', '6']
['5', '10', '10']
['6', '10', '14']
['6', '15', '13']
['9', '10', '7']
['6', '8', '5']
['12', '10', '11']
['12', '10', '4']
['7', '11', '3']
['12', '10', '8']
['6', '13', '18']
['10', '15', '9']
['12', '8', '14']
['10', '19', '18']
['17', '6', '4']
['14', '11', '17']
['12', '9', '11']
['12', '14', '14']
['16', '9', '10']
['10', '11', '2']
['6', '11', '8']
['12', '16', '9']
['9', '7', '11']
['7', '9', '12']
['8', '13', '15']
['11', '12', '7']
['12', '5', '4']
['20', '9', '8']
['7', '5', '7']
['20', '9', '8']
['7', '5', '7']
['5', '15', '10']
['11', '15', '13']
['7', '15', '10']
['6', '13', '7']
['17', '10', '15']
['10', '13', '6']
['9', '10', '8']
['11', '7', '5']
['11', '12', '14']
['6', '11', '11']
['8', '15', '7']
['6', '11', '11']
['8', '15', '7']
['13', '7', '9']
['17', '9', '9']
['5', '0', '6']
['10', '10', '8']
['8', '8', '7']
['5', '12', '12']
['8', '8', '6']
['8', '15', '14']
['18', '15', '14']
['5', '14', '14']
['14', '16', '14']
['3', '10', '9']
['7', '10', '11']
['3', '17', '7']
['12', '10', '8']
['9', '7', '11']
['11', '8', '5']
['4', '11', '11']
['12', '19', '3']
['13', '8', '7']
['7', '3', '12']
['8', '5', '7']
['7', '6', '18']
['13', '12', '8']
['10', '12', '11']
['6', '7', '6']
['10', '13', '9']
['6', '9', '10']
['7', '13', '6']
['11', '11', '5']
['4', '5', '8']
['14', '11', '16']
['15', '12', '6']
['10', '3', '11']
['8', '5', '4']
['7', '8', '8']
['6', '7', '11']
['5', '5', '7']
['7', '12', '9']
['8', '14', '12']
['13', '8', '9']
['7', '8', '10']
['4', '10', '5']
['13', '11', '15']
['10', '7', '10']
['4', '2', '7']
['9', '9', '12']
['14', '10', '10']
['8', '12', '12']
['6', '10', '7']
['9', '10', '9']
['9', '14', '8']
['8', '6', '11']
['11', '9', '10']
['14', '15', '9']
['6', '10', '11']
['9', '9', '11']
['6', '9', '12']
['6', '3', '7']
['7', '10', '7']
['6', '5', '15']
['11', '11', '8']
['12', '11', '5']
['7', '10', '7']
['9', '7', '15']
['10', '4', '7']
['14', '15', '10']
['8', '20', '12']
['14', '10', '4']
['13', '5', '18']
['7', '11', '6']
