['5', '7', '12']
['11', '13', '9']
['3', '17', '9']
['8', '7', '11']
['8', '11', '6']
['18', '15', '6']
['4', '10', '7']
['13', '8', '13']
['8', '8', '11']
['14', '11', '10']
['6', '6', '3']
['4', '9', '14']
['16', '12', '3']
['7', '7', '14']
['14', '14', '9']
['16', '13', '14']
['10', '10', '12']
['14', '6', '8']
['9', '21', '7']
['4', '13', '3']
['11', '11', '3']
['12', '15', '12']
['7', '12', '3']
['14', '18', '24']
['14', '12', '7']
['5', '7', '1']
['12', '9', '12']
['10', '11', '7']
['8', '5', '11']
['6', '2', '1']
['14', '9', '3']
['10', '10', '3']
['14', '6', '10']
['9', '7', '7']
['12', '9', '9']
['5', '4', '3']
['6', '8', '12']
['10', '6', '2']
['18', '12', '13']
['7', '18', '4']
['16', '11', '9']
['10', '6', '9']
['5', '10', '11']
['11', '11', '16']
['11', '6', '15']
['6', '10', '11']
['7', '10', '8']
['8', '5', '16']
['12', '8', '13']
['12', '5', '13']
['12', '16', '21']
['11', '12', '10']
['6', '6', '8']
['9', '12', '4']
['7', '11', '5']
['7', '8', '11']
['8', '11', '11']
['11', '9', '10']
['15', '13', '14']
['9', '13', '17']
['6', '5', '10']
['8', '8', '10']
['11', '14', '1']
['10', '10', '8']
['10', '10', '13']
['10', '12', '9']
['12', '9', '13']
['6', '10', '17']
['10', '18', '7']
['10', '4', '3']
['10', '12', '9']
['5', '13', '6']
['8', '11', '6']
['7', '10', '12']
['14', '16', '10']
['18', '9', '10']
['19', '8', '9']
['12', '2', '7']
['9', '9', '9']
['8', '8', '14']
['14', '6', '7']
['8', '8', '6']
['8', '9', '5']
['4', '9', '5']
['7', '20', '3']
['9', '11', '13']
['10', '10', '4']
['8', '12', '12']
['11', '5', '9']
['10', '10', '7']
['12', '15', '17']
['12', '4', '8']
['6', '12', '6']
['9', '9', '13']
['8', '14', '5']
['7', '10', '6']
['9', '9', '10']
['21', '4', '11']
['15', '20', '9']
['11', '13', '4']
['12', '6', '5']
['5', '7', '7']
['9', '9', '8']
['7', '12', '6']
['10', '10', '5']
['19', '12', '15']
['8', '9', '11']
['11', '10', '11']
['3', '17', '12']
['5', '11', '5']
['6', '12', '10']
['10', '11', '17']
['9', '15', '8']
['9', '18', '14']
['10', '9', '8']
['12', '12', '5']
['14', '4', '13']
['9', '18', '16']
['9', '9', '8']
['12', '10', '13']
['15', '19', '8']
['7', '16', '12']
['7', '16', '11']
['9', '14', '19']
['6', '8', '6']
['5', '16', '7']
['8', '6', '4']
['6', '12', '7']
['8', '12', '8']
['11', '11', '5']
['14', '13', '9']
['12', '13', '9']
['7', '13', '5']
['11', '14', '12']
['9', '6', '6']
['8', '8', '9']
['8', '8', '3']
['9', '4', '10']
['10', '14', '6']
['13', '8', '8']
['7', '6', '5']
['14', '5', '14']
['17', '16', '13']
['10', '9', '15']
['12', '11', '8']
['11', '12', '12']
['5', '11', '6']
['6', '10', '15']
['15', '14', '12']
['4', '10', '6']
['12', '2', '5']
['10', '18', '18']
['15', '13', '10']
['15', '12', '6']
['3', '9', '7']
['7', '11', '9']
['9', '6', '11']
['7', '7', '10']
['11', '12', '10']
['11', '9', '10']
['9', '10', '9']
['16', '12', '5']
['10', '13', '7']
['8', '8', '9']
['6', '11', '11']
['8', '6', '10']
['5', '6', '7']
['6', '4', '7']
['2', '8', '4']
['11', '7', '6']
['10', '8', '5']
['8', '14', '7']
['4', '15', '10']
['11', '10', '6']
['11', '5', '6']
['6', '4', '11']
['11', '22', '8']
['10', '7', '13']
['13', '7', '15']
['11', '6', '10']
['7', '4', '8']
['11', '7', '14']
['7', '9', '4']
['11', '6', '9']
['3', '14', '17']
['5', '9', '6']
['9', '9', '19']
['7', '7', '5']
['8', '10', '5']
['11', '16', '13']
['8', '7', '8']
['4', '8', '3']
['12', '4', '5']
['7', '8', '15']
['11', '11', '6']
['4', '11', '13']
['5', '2', '6']
['12', '9', '13']
['8', '13', '6']
['11', '11', '8']
['10', '13', '2']
['2', '13', '8']
['11', '11', '14']
['12', '10', '13']
['14', '17', '8']
['7', '9', '9']
['6', '6', '19']
['16', '7', '7']
['6', '13', '14']
['5', '12', '7']
['9', '9', '3']
['14', '14', '8']
['9', '8', '9']
['14', '12', '14']
['10', '7', '7']
['4', '9', '10']
['8', '2', '7']
['5', '5', '2']
['11', '13', '17']
['5', '12', '12']
['5', '10', '9']
['8', '7', '7']
['11', '14', '17']
['9', '11', '15']
['10', '9', '11']
['6', '10', '8']
['3', '17', '11']
['10', '11', '7']
['10', '12', '6']
['10', '14', '16']
['2', '3', '14']
['9', '11', '13']
['12', '21', '13']
['13', '16', '10']
['11', '5', '10']
['11', '6', '17']
['8', '8', '7']
['7', '16', '9']
['9', '3', '6']
['11', '11', '8']
['15', '15', '16']
['7', '6', '6']
['16', '9', '11']
['4', '7', '20']
['11', '5', '13']
['12', '10', '16']
['14', '7', '23']
['11', '9', '13']
['3', '6', '10']
['8', '5', '12']
['10', '9', '11']
['5', '4', '7']
['11', '13', '16']
['3', '8', '14']
['15', '12', '13']
['23', '17', '18']
['5', '16', '10']
['10', '12', '9']
['14', '3', '14']
['11', '5', '2']
['5', '6', '7']
['6', '10', '11']
['14', '14', '17']
['7', '13', '12']
['13', '15', '9']
['11', '9', '9']
['17', '9', '11']
['9', '9', '11']
['12', '13', '17']
['10', '7', '13']
['10', '10', '13']
['10', '5', '6']
['5', '5', '11']
['4', '15', '19']
['9', '11', '24']
['12', '15', '14']
['8', '7', '18']
['5', '13', '14']
['5', '11', '11']
['12', '11', '6']
['8', '7', '4']
['11', '5', '6']
['8', '11', '5']
['11', '10', '7']
['5', '10', '13']
['8', '1', '4']
['10', '11', '11']
['8', '3', '10']
['3', '14', '8']
['11', '10', '11']
['6', '10', '9']
['10', '7', '15']
['4', '6', '8']
['12', '6', '15']
['6', '16', '11']
['6', '8', '6']
['6', '7', '8']
['10', '7', '6']
['9', '12', '15']
['10', '7', '6']
['9', '12', '15']
['7', '8', '8']
['8', '14', '10']
['3', '7', '5']
['15', '3', '9']
['9', '7', '8']
['8', '8', '6']
['12', '14', '12']
['7', '12', '10']
['11', '5', '7']
['4', '5', '11']
['4', '6', '9']
['4', '5', '11']
['4', '6', '9']
['9', '12', '6']
['7', '9', '8']
['15', '28', '21']
['7', '5', '17']
['13', '12', '14']
['6', '14', '4']
['5', '7', '12']
['10', '8', '9']
['6', '10', '2']
['12', '6', '10']
['11', '7', '12']
['11', '6', '9']
['11', '7', '4']
['6', '7', '14']
['6', '11', '14']
['7', '9', '10']
['7', '12', '10']
['6', '15', '8']
['11', '9', '9']
['8', '11', '12']
['7', '10', '9']
['10', '15', '9']
['5', '14', '10']
['7', '6', '8']
['11', '9', '6']
['14', '7', '7']
['8', '14', '13']
['9', '12', '12']
['8', '8', '9']
['5', '7', '4']
['8', '10', '3']
['7', '11', '8']
['6', '14', '8']
['18', '19', '10']
['8', '10', '8']
['16', '8', '8']
['9', '15', '7']
['12', '16', '18']
['12', '12', '11']
['11', '14', '6']
