 ft st fps fpr sps spr tps tpr data
0 Авангард Локомотив 12 4 12 6 14 12 22.12.2018
1 Йокерит "Динамо Рига" 4 9 12 12 15 8 22.12.2018
2 СКА ЦСКА 10 3 9 16 7 8 22.12.2018
3 "Спартак Москва" Сочи 11 7 13 7 8 9 21.12.2018
4 "Салават Юлаев" Северсталь 12 8 12 7 10 6 21.12.2018
5 Сибирь Адмирал 5 17 7 13 11 4 21.12.2018
6 Амур "Динамо Москва" 14 4 15 8 21 6 20.12.2018
7 "Ак Барс" Трактор 10 13 13 8 8 11 20.12.2018
8 Нефтехимик "Металлург Магнитогорск" 7 7 15 8 8 11 20.12.2018
9 Торпедо Автомобилист 6 13 5 11 6 10 20.12.2018
10 Авангард Северсталь 8 5 13 5 11 3 20.12.2018
11 "Витязь Подольск" Сочи 6 4 5 8 7 14 20.12.2018
12 "Динамо Минск" "Слован Братислава" 10 15 9 11 9 3 20.12.2018
13 Йокерит ЦСКА 6 6 14 6 3 13 20.12.2018
14 СКА "Динамо Рига" 8 14 6 11 12 9 20.12.2018
15 "Спартак Москва" "Салават Юлаев" 11 16 9 12 6 12 19.12.2018
16 Барыс Локомотив 13 8 12 10 8 12 19.12.2018
17 Сибирь Амур 9 13 20 6 15 7 19.12.2018
18 "Куньлунь РС" "Динамо Москва" 12 9 7 21 3 7 18.12.2018
19 "Ак Барс" "Металлург Магнитогорск" 12 4 7 12 12 3 18.12.2018
20 Нефтехимик Автомобилист 7 10 10 11 13 3 18.12.2018
21 Торпедо Трактор 11 12 12 15 4 10 18.12.2018
22 "Витязь Подольск" ЦСКА 8 7 6 12 5 3 18.12.2018
23 "Динамо Минск" "Динамо Рига" 6 13 7 18 3 23 18.12.2018
24 СКА "Слован Братислава" 7 12 9 11 14 7 18.12.2018
25 Сочи "Салават Юлаев" 24 5 20 7 15 1 18.12.2018
26 "Спартак Москва" Йокерит 9 12 7 8 10 11 18.12.2018
27 Сибирь Локомотив 5 9 10 10 11 7 17.12.2018
28 "Куньлунь РС" Амур 7 7 10 5 10 11 17.12.2018
29 Барыс Северсталь 15 5 10 2 12 1 17.12.2018
30 Адмирал "Динамо Москва" 11 13 10 8 11 2 17.12.2018
31 Авангард Йокерит 8 10 11 10 13 2 17.12.2018
32 "Ак Барс" Автомобилист 14 12 9 5 13 9 12.12.2018
33 Нефтехимик Трактор 11 8 13 5 6 6 12.12.2018
34 Торпедо "Металлург Магнитогорск" 6 12 15 8 8 9 11.12.2018
35 "Куньлунь РС" Амур 7 4 14 4 14 1 11.12.2018
36 "Слован Братислава" "Динамо Рига" 13 5 11 7 9 11 10.12.2018
37 "Куньлунь РС" Барыс 4 9 10 6 11 2 10.12.2018
38 "Динамо Москва" Северсталь 6 17 9 12 7 12 10.12.2018
39 Йокерит "Салават Юлаев" 10 6 11 16 11 4 10.12.2018
40 "Динамо Рига" "Ак Барс" 8 15 4 10 11 9 10.12.2018
41 "Динамо Минск" "Витязь Подольск" 8 10 11 5 12 9 10.12.2018
42 "Динамо Москва" СКА 3 5 11 8 8 10 10.12.2018
43 Сочи Нефтехимик 6 10 5 11 6 16 10.12.2018
44 Торпедо Локомотив 5 11 18 4 4 13 09.12.2018
45 Автомобилист "Спартак Москва" 11 6 11 10 9 11 09.12.2018
46 "Металлург Магнитогорск" Авангард 9 5 13 10 12 7 09.12.2018
47 Амур Барыс 15 7 12 5 10 15 08.12.2018
48 Северсталь Йокерит 7 11 13 8 4 13 08.12.2018
49 ЦСКА "Салават Юлаев" 11 11 11 5 5 12 08.12.2018
50 Автомобилист "Куньлунь РС" 5 12 8 14 7 20 08.12.2018
51 "Слован Братислава" "Ак Барс" 11 9 8 11 4 10 08.12.2018
52 "Витязь Подольск" "Динамо Москва" 17 5 18 6 13 8 08.12.2018
53 Сочи Авангард 8 8 2 11 5 3 08.12.2018
54 Торпедо Нефтехимик 7 5 8 10 7 4 07.12.2018
